# 
# This is data from Figure 6, Lawrence et al., 2022, submitted.
#        MAPLON        MAPLAT          HMAP
      112.7500     -89.75000      87.55499
      113.2500     -89.75000      87.55634
      113.7500     -89.75000      87.55896
      114.2500     -89.75000      87.56415
      114.7500     -89.75000      87.56677
      115.2500     -89.75000      87.57336
      115.7500     -89.75000      87.57599
      116.2500     -89.75000      87.57990
      116.7500     -89.75000      87.58771
      117.2500     -89.75000      87.59161
      117.7500     -89.75000      87.60077
      118.2500     -89.75000      87.60608
      118.7500     -89.75000      87.61639
      119.2500     -89.75000      87.62170
      119.7500     -89.75000      87.62689
      120.2500     -89.75000      87.63855
      120.7500     -89.75000      87.64508
      121.2500     -89.75000      87.65808
      121.7500     -89.75000      87.66461
      122.2500     -89.75000      87.67889
      122.7500     -89.75000      87.68542
      123.2500     -89.75000      87.69318
      123.7500     -89.75000      87.70746
      124.2500     -89.75000      87.71533
      124.7500     -89.75000      87.73090
      125.2500     -89.75000      87.73877
      125.7500     -89.75000      87.74786
      126.2500     -89.75000      87.76477
      126.7500     -89.75000      87.77252
      127.2500     -89.75000      87.79071
      127.7500     -89.75000      87.79840
      128.2500     -89.75000      87.81677
      128.7500     -89.75000      87.82709
      129.2500     -89.75000      87.83618
      129.7500     -89.75000      87.85437
      130.2500     -89.75000      87.86475
      130.7500     -89.75000      87.88428
      131.2500     -89.75000      87.89319
      131.7500     -89.75000      87.91278
      132.2500     -89.75000      87.92316
      132.7500     -89.75000      87.93341
      133.2500     -89.75000      87.95435
      133.7500     -89.75000      87.96460
      134.2500     -89.75000      87.98547
      134.7500     -89.75000      87.99573
      135.2500     -89.75000      88.01654
      135.7500     -89.75000      88.02692
      136.2500     -89.75000      88.03723
      136.7500     -89.75000      88.05945
      137.2500     -89.75000      88.06970
      137.7500     -89.75000      88.09045
      138.2500     -89.75000      88.10205
      138.7500     -89.75000      88.11243
      139.2500     -89.75000      88.13306
      139.7500     -89.75000      88.14478
      140.2500     -89.75000      88.16547
      140.7500     -89.75000      88.17712
      141.2500     -89.75000      88.19788
      141.7500     -89.75000      88.20941
      142.2500     -89.75000      88.21973
      142.7500     -89.75000      88.24048
      143.2500     -89.75000      88.25214
      143.7500     -89.75000      88.27283
      144.2500     -89.75000      88.28308
      144.7500     -89.75000      88.30518
      145.2500     -89.75000      88.31549
      145.7500     -89.75000      88.32568
      146.2500     -89.75000      88.34644
      146.7500     -89.75000      88.35663
      147.2500     -89.75000      88.37732
      147.7500     -89.75000      88.38757
      148.2500     -89.75000      88.39783
      148.7500     -89.75000      88.41718
      149.2500     -89.75000      88.42749
      149.7500     -89.75000      88.44690
      150.2500     -89.75000      88.45709
      150.7500     -89.75000      88.47650
      151.2500     -89.75000      88.48535
      151.7500     -89.75000      88.49438
      152.2500     -89.75000      88.51373
      152.7500     -89.75000      88.52258
      153.2500     -89.75000      88.54065
      153.7500     -89.75000      88.54956
      154.2500     -89.75000      88.56763
      154.7500     -89.75000      88.57520
      155.2500     -89.75000      88.58411
      155.7500     -89.75000      88.60089
      156.2500     -89.75000      88.60980
      156.7500     -89.75000      88.62518
      157.2500     -89.75000      88.63416
      157.7500     -89.75000      88.64954
      158.2500     -89.75000      88.65710
      158.7500     -89.75000      88.66461
      159.2500     -89.75000      88.68018
      159.7500     -89.75000      88.68640
      160.2500     -89.75000      88.70044
      160.7500     -89.75000      88.70801
      161.2500     -89.75000      88.71423
      161.7500     -89.75000      88.72839
      162.2500     -89.75000      88.73462
      162.7500     -89.75000      88.74744
      163.2500     -89.75000      88.75238
      163.7500     -89.75000      88.76508
      164.2500     -89.75000      88.77008
      164.7500     -89.75000      88.77631
      165.2500     -89.75000      88.78644
      165.7500     -89.75000      88.79266
      166.2500     -89.75000      88.80292
      166.7500     -89.75000      88.80780
      167.2500     -89.75000      88.81653
      167.7500     -89.75000      88.82159
      168.2500     -89.75000      88.82520
      168.7500     -89.75000      88.83392
      169.2500     -89.75000      88.83759
      169.7500     -89.75000      88.84637
      170.2500     -89.75000      88.84998
      170.7500     -89.75000      88.85236
      171.2500     -89.75000      88.85986
      171.7500     -89.75000      88.86346
      172.2500     -89.75000      88.86969
      172.7500     -89.75000      88.87183
      173.2500     -89.75000      88.87677
      173.7500     -89.75000      88.87909
      174.2500     -89.75000      88.88135
      174.7500     -89.75000      88.88629
      175.2500     -89.75000      88.88861
      175.7500     -89.75000      88.89209
      176.2500     -89.75000      88.89307
      176.7500     -89.75000      88.89667
      177.2500     -89.75000      88.89764
      177.7500     -89.75000      88.89868
      178.2500     -89.75000      88.90094
      178.7500     -89.75000      88.90179
      179.2500     -89.75000      88.90405
      179.7500     -89.75000      88.90375
     -179.7500     -89.25000      86.40082
     -179.2500     -89.25000      86.33276
     -178.7500     -89.25000      86.26349
     -178.2500     -89.25000      86.12085
     -177.7500     -89.25000      86.04620
     -177.2500     -89.25000      85.89313
     -176.7500     -89.25000      85.81458
     -176.2500     -89.25000      85.73346
     -175.7500     -89.25000      85.56732
     -175.2500     -89.25000      85.48230
     -174.7500     -89.25000      85.30707
     -174.2500     -89.25000      85.21667
     -173.7500     -89.25000      85.03351
     -173.2500     -89.25000      84.93927
     -172.7500     -89.25000      84.84241
     -172.2500     -89.25000      84.64758
     -171.7500     -89.25000      84.54675
     -171.2500     -89.25000      84.34277
     -170.7500     -89.25000      84.23810
     -170.2500     -89.25000      84.02618
     -169.7500     -89.25000      83.91766
     -169.2500     -89.25000      83.80646
     -168.7500     -89.25000      83.58405
     -168.2500     -89.25000      83.47028
     -167.7500     -89.25000      83.24017
     -167.2500     -89.25000      83.12238
     -166.7500     -89.25000      83.00336
     -166.2500     -89.25000      82.76398
     -165.7500     -89.25000      82.64099
     -165.2500     -89.25000      82.39520
     -164.7500     -89.25000      82.26959
     -164.2500     -89.25000      82.01593
     -163.7500     -89.25000      81.88788
     -163.2500     -89.25000      81.75830
     -162.7500     -89.25000      81.49689
     -162.2500     -89.25000      81.36469
     -161.7500     -89.25000      81.09937
     -161.2500     -89.25000      80.96338
     -160.7500     -89.25000      80.69269
     -160.2500     -89.25000      80.55548
     -159.7500     -89.25000      80.41815
     -159.2500     -89.25000      80.14105
     -158.7500     -89.25000      80.00110
     -158.2500     -89.25000      79.72015
     -157.7500     -89.25000      79.57898
     -157.2500     -89.25000      79.29535
     -156.7500     -89.25000      79.15155
     -156.2500     -89.25000      79.00775
     -155.7500     -89.25000      78.72156
     -155.2500     -89.25000      78.57648
     -154.7500     -89.25000      78.28766
     -154.2500     -89.25000      78.14258
     -153.7500     -89.25000      77.99628
     -153.2500     -89.25000      77.70618
     -152.7500     -89.25000      77.55988
     -152.2500     -89.25000      77.26971
     -151.7500     -89.25000      77.12341
     -151.2500     -89.25000      76.83344
     -150.7500     -89.25000      76.68713
     -150.2500     -89.25000      76.54211
     -149.7500     -89.25000      76.25342
     -149.2500     -89.25000      76.10858
     -148.7500     -89.25000      75.82239
