id,WKT,mgo,al2o3,sio2,cao,tio2,feo,potassium,thorium,uranium
28,"POLYGON ((-22.5 -40.0, 0.0 -40.0, 0.0 -20.0, -22.5 -20.0, -22.5 -40.0))",8.827600,23.026000,42.453000,16.980000,1.403800,8.218700,1307.5000,2.7701,0.7552
29,"POLYGON ((0.0 -40.0, 22.5 -40.0, 22.5 -20.0, 0.0 -20.0, 0.0 -40.0))",9.022700,23.566000,44.212000,16.641000,0.487660,5.984500,652.3900,1.5150,0.4126
30,"POLYGON ((22.5 -40.0, 45.0 -40.0, 45.0 -20.0, 22.5 -20.0, 22.5 -40.0))",8.046800,24.504000,45.609000,16.375000,0.490960,6.014400,459.6000,1.1228,0.3055
31,"POLYGON ((45.0 -40.0, 67.5 -40.0, 67.5 -20.0, 45.0 -20.0, 45.0 -40.0))",8.195500,24.288000,45.114000,15.813000,0.353270,6.095300,280.9000,0.5477,0.1485
32,"POLYGON ((67.5 -40.0, 90.0 -40.0, 90.0 -20.0, 67.5 -20.0, 67.5 -40.0))",8.752300,22.735000,45.049000,16.081000,0.444740,6.200800,331.5500,0.6633,0.1801
33,"POLYGON ((90.0 -40.0, 112.5 -40.0, 112.5 -20.0, 90.0 -20.0, 90.0 -40.0))",8.508600,24.162000,45.454000,15.359000,0.531730,6.699200,355.6400,0.5903,0.1602
34,"POLYGON ((112.5 -40.0, 135.0 -40.0, 135.0 -20.0, 112.5 -20.0, 112.5 -40.0))",6.329800,25.391000,45.343000,16.279000,0.426000,5.536000,300.1500,0.4943,0.1339
35,"POLYGON ((135.0 -40.0, 157.5 -40.0, 157.5 -20.0, 135.0 -20.0, 135.0 -40.0))",7.252200,24.577000,45.726000,16.264000,0.285050,5.332000,460.6900,0.9054,0.2462
36,"POLYGON ((157.5 -40.0, 180.0 -40.0, 180.0 -20.0, 157.5 -20.0, 157.5 -40.0))",8.524500,20.795000,46.371000,15.785000,0.534190,8.129000,981.4800,2.2842,0.6226
37,"POLYGON ((-180.0 -20.0, -162.0 -20.0, -162.0 0.0, -180.0 0.0, -180.0 -20.0))",5.474100,26.713000,45.036000,16.171000,0.271660,4.563000,355.3800,0.7161,0.1945
38,"POLYGON ((-162.0 -20.0, -144.0 -20.0, -144.0 0.0, -162.0 0.0, -162.0 -20.0))",5.178700,26.565000,44.713000,16.232000,0.284070,4.456700,290.3600,0.4767,0.1291
39,"POLYGON ((-144.0 -20.0, -126.0 -20.0, -126.0 0.0, -144.0 0.0, -144.0 -20.0))",4.941500,27.705000,44.306000,15.902000,0.205440,4.255100,227.0700,0.4455,0.1206
40,"POLYGON ((-126.0 -20.0, -108.0 -20.0, -108.0 0.0, -126.0 0.0, -126.0 -20.0))",4.093100,27.407000,43.808000,16.804000,0.363740,4.312800,241.8700,0.4167,0.1128
41,"POLYGON ((-108.0 -20.0, -90.0 -20.0, -90.0 0.0, -108.0 0.0, -108.0 -20.0))",4.325300,26.254000,45.227000,16.073000,0.430230,4.619600,270.5000,0.3766,0.1018
42,"POLYGON ((-90.0 -20.0, -72.0 -20.0, -72.0 0.0, -90.0 0.0, -90.0 -20.0))",4.485300,26.764000,44.739000,15.471000,0.579900,5.162700,377.7400,0.6038,0.1638
43,"POLYGON ((-72.0 -20.0, -54.0 -20.0, -54.0 0.0, -72.0 0.0, -72.0 -20.0))",7.935900,22.013000,43.224000,16.264000,1.135000,8.905900,1099.6000,2.5646,0.6991
44,"POLYGON ((-54.0 -20.0, -36.0 -20.0, -36.0 0.0, -54.0 0.0, -54.0 -20.0))",8.955800,14.046000,39.585000,15.824000,3.218600,16.934000,1780.5000,4.3484,1.1861
45,"POLYGON ((-36.0 -20.0, -18.0 -20.0, -18.0 0.0, -36.0 0.0, -36.0 -20.0))",10.058000,14.465000,38.520000,15.106000,3.564600,18.306000,2516.0000,6.2126,1.6950
46,"POLYGON ((-18.0 -20.0, 0.0 -20.0, 0.0 0.0, -18.0 0.0, -18.0 -20.0))",10.713000,19.419000,39.703000,17.658000,2.097900,12.723000,2859.1000,7.6855,2.0971
47,"POLYGON ((0.0 -20.0, 18.0 -20.0, 18.0 0.0, 0.0 0.0, 0.0 -20.0))",9.522600,24.104000,42.821000,17.389000,0.678130,6.685700,1329.6000,3.2107,0.8755
48,"POLYGON ((18.0 -20.0, 36.0 -20.0, 36.0 0.0, 18.0 0.0, 18.0 -20.0))",9.503700,22.126000,42.433000,14.942000,1.483700,8.314800,588.3000,1.3935,0.3794
49,"POLYGON ((36.0 -20.0, 54.0 -20.0, 54.0 0.0, 36.0 0.0, 36.0 -20.0))",10.254000,18.338000,42.725000,14.485000,1.576900,11.485000,618.7300,1.2828,0.3492
50,"POLYGON ((54.0 -20.0, 72.0 -20.0, 72.0 0.0, 54.0 0.0, 54.0 -20.0))",10.425000,20.190000,43.668000,15.174000,0.811080,9.239900,627.0900,1.3804,0.3758
51,"POLYGON ((72.0 -20.0, 90.0 -20.0, 90.0 0.0, 72.0 0.0, 72.0 -20.0))",8.987000,23.174000,44.868000,15.436000,0.494460,6.911600,481.2100,0.9738,0.2649
52,"POLYGON ((90.0 -20.0, 108.0 -20.0, 108.0 0.0, 90.0 0.0, 90.0 -20.0))",7.394000,25.167000,44.786000,15.543000,0.396770,5.714700,334.6000,0.6580,0.1786
53,"POLYGON ((108.0 -20.0, 126.0 -20.0, 126.0 0.0, 108.0 0.0, 108.0 -20.0))",7.029400,24.637000,44.728000,16.308000,0.403730,6.149700,274.2600,0.4815,0.1305
54,"POLYGON ((126.0 -20.0, 144.0 -20.0, 144.0 0.0, 126.0 0.0, 126.0 -20.0))",7.027200,25.471000,45.160000,15.874000,0.259280,4.921600,263.1900,0.5357,0.1452
55,"POLYGON ((144.0 -20.0, 162.0 -20.0, 162.0 0.0, 144.0 0.0, 144.0 -20.0))",5.723900,26.172000,45.585000,17.241000,0.247060,4.800700,526.7000,0.9436,0.2566
56,"POLYGON ((162.0 -20.0, 180.0 -20.0, 180.0 0.0, 162.0 0.0, 162.0 -20.0))",5.253700,27.320000,45.530000,17.458000,0.196480,4.634900,538.0900,1.0127,0.2755
57,"POLYGON ((-180.0 0.0, -162.0 0.0, -162.0 20.0, -180.0 20.0, -180.0 0.0))",4.816800,27.437000,44.810000,16.255000,0.237600,4.323300,218.7600,0.4494,0.1217
58,"POLYGON ((-162.0 0.0, -144.0 0.0, -144.0 20.0, -162.0 20.0, -162.0 0.0))",5.320900,26.880000,44.789000,16.290000,0.252230,4.486200,231.3000,0.4323,0.1170
